Device Name	Label
SH LIM iPad	Apple
SH LIM iPad	Apple
SH LIM iPad	Apple
SH LIM iPad	Apple
SH LIM iPad	Apple
chery's iphone	Apple
Aravind's iphone	Apple
J's iphone	Apple
fake's iphone	Apple
Grab's iphone	Apple
iphone	Apple
LIM's S23 Ultra	Samsung
SY's S23 Ultra	Samsung
Jullisha's S22 Ultra	Samsung
JY's S23 Ultra	Samsung
BS's S23 Ultra	Samsung
LIM's S23 Ultra	Samsung
SY's S23 Ultra	Samsung
Jullisha's S22 Ultra	Samsung
JY's S23 Ultra	Samsung
BS's S23 Ultra	Samsung
OPPO Reno7 5G	Oppo
JOYCHENG	Others
fake me	Others
MAG	Others
Realfit F1	Earbud
LAPTOP-RO5HNI2M	Laptop
DESKTOP-VQCPJTV	Laptop
Samsung AU7000 55 TV	TV